"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_nswaus","pstay_nswaus_lower","pstay_nswaus_upper","pstay_nswos","pstay_nswos_lower","pstay_nswos_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
2000,1.21379435952148,1.22951483693203,0.969178001454284,1.28190529639898,0.843664018250162,0.999129867502935,1.59184460380128,0.878916745269638,0.526786108500603,0.409575271854983,1.36246586865191,1,0.99980568992222,1.00952119381122,0.98669916257141,0.972844123583295,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.992859104641582,0.990478806188776,0.995239403094388,1.02174196323622,0.661835706203015,1,1,1,1,1,1,1,0.0212288640154744,0.0246243672857087
2001,1.20991772287623,1.22601376974327,0.968988908286849,1.25993787082972,0.853439634771185,1.00036183027115,1.57925286703705,0.91370778828108,0.533952884417898,0.410483057974503,1.35880681976541,1,0.999800592268033,1.00977097886639,0.98603131204635,0.971480595427964,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.992671765850208,0.99022902113361,0.995114510566805,1.02231734112336,0.666091569665988,1,1,1,1,1,1,1,0.0189737377901133,0.0220781336733933
2002,1.20619192724803,1.22251270255451,0.968799815119415,1.2389356263077,0.86278574079898,1.00153966438825,1.56721437241938,0.946970219975646,0.540804774266126,0.41135095876678,1.35530853822169,1,0.999784215540832,1.01057343849925,0.985574621524258,0.970548185612028,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99206992112556,0.989426561500746,0.994713280750373,1.02617802551072,0.672550809746179,1,1,1,1,1,1,1,0.0164223260558879,0.0191582145347741
2003,1.20257823934694,1.21901163536575,0.96861072195198,1.21883631959552,0.871730034891944,1.00266686053867,1.55569344210074,0.978802618456712,0.547362084627561,0.412181546383329,1.35196065634938,1,0.999772496411152,1.01114767585356,0.985288174934362,0.969963357157655,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.991639243109831,0.988852324146442,0.994426162073221,1.02623998156013,0.676582266323926,1,1,1,1,1,1,1,0.0147630931437743,0.0172602272905717
2004,1.19864135656949,1.21551056817699,0.968421628784546,1.19958294680727,0.880297884070299,1.00374661557702,1.54465740143184,1.00929526397313,0.553643412769114,0.412977176463695,1.34875367918039,1,0.999761961437753,1.01166388955011,0.98499618601539,0.969367213114754,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99125208283742,0.988336110449893,0.994168055224946,1.02675062738907,0.680959429227399,1.29208092887437,0.969982130290579,1.65986997364493,0.389994124066146,0.108917403026861,0.982928167445295,1.30253764321215,0.00198845304887092,0.0169339898301214
2005,1.19507551071388,1.21200950098824,0.968232535617111,1.18112320348962,0.888512564082788,1.00478186280735,1.53407626947997,1.03853099401893,0.559665822788498,0.413740010447169,1.34567889451714,1,0.999755067719095,1.01200168176432,0.984857131702093,0.96908331055844,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.990998738676757,0.987998318235676,0.993999159117838,1.02367243269667,0.682994684211817,0.81980056980057,0.538688342913776,1.18579638740672,1.13510848126233,0.791912991809964,1.56016950944159,1.52148400453855,0.00582368364311449,0.0254923822275828
2006,1.19108778300219,1.20850843379948,0.968043442449677,1.16340901012152,0.896395470561743,1.00577529859389,1.52392248704521,1.06658595482623,0.565445000417875,0.414472035181123,1.34272829389649,1,0.99974676714826,1.01240840973526,0.984348178645978,0.968044198068871,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.990693692698553,0.987591590264737,0.993795795132369,1.0244072841591,0.687613964397303,0.534569597069597,0.290424798189947,0.901599520575659,1.75138472190168,1.44045287207348,2.08819663061879,1.41916646317722,0.00568136928450147,0.0248755740327086
2007,1.18730049998121,1.20500736661072,0.967854349282242,1.14639609396801,0.903966305100212,1.00672940581114,1.51417067697891,1.09353026360657,0.570995389442189,0.415175080200581,1.33989450294038,1,0.999742291922444,1.01262769580023,0.983852295949106,0.967031770896092,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.99052922814983,0.987372304199773,0.993686152099887,1.02485311779651,0.692094217852854,0.645184453819226,0.393173372822964,0.992581470909716,0.445187662578967,0.172285443301101,0.949424546102596,2.18605656766592,0.0112605375509306,0.0351946471273579
2008,1.18405619147065,1.20150629942196,0.967665256114808,1.13004361963141,0.911243239658633,1.00764647456311,1.50479743241544,1.1194285936678,0.576330312230216,0.415850832995359,1.33717071981776,1,0.999737801109206,1.0128477456489,0.983289340313698,0.965882403140468,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.990364190763327,0.987152254351103,0.993576127175552,1.02451538371717,0.696096877100944,0.739563230066023,0.467945258920796,1.09841123259325,0.678881118881119,0.338454689661218,1.20600515465163,2.16545057600724,0.00813784711962518,0.0301736993280338
2009,1.17976105139038,1.1980052322332,0.967476162947373,1.11431386180933,0.918243062189146,1.00852862053551,1.49578112919701,1.14434069268561,0.581462076495846,0.416500852533116,1.334550660737,1,0.999730707813253,1.01319531715061,0.982497959183673,0.964266666666667,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.990103512137046,0.986804682849395,0.993402341424697,1.0256892553644,0.701182154337162,1.30192719486081,1.02333302266276,1.60466863160666,0.216216216216216,0.0190545188213614,0.841686815930602,1.13842589883758,0.000537262753137999,0.0124245404293279
2010,1.17598841357672,1.19450416504444,0.967287069779939,1.09917191473906,0.924981305934368,1.00937780129045,1.48710175932703,1.16832184287264,0.586402070090553,0.417126581266308,1.33202851154877,1,0.99972531613112,1.01345950957511,0.981808991714471,0.962860024750377,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.989905367818664,0.986540490424886,0.993270245212443,1.02610994638323,0.705812316950906,0.818318135764944,0.575431413795938,1.11886734391371,0.968109589041096,0.641697797384035,1.38837048259433,1.54144110758442,0.0046765702462847,0.0228386095014026
2011,1.17240215088736,1.19100309785568,0.967097976612504,1.08458543361821,0.93147236449646,1.01019583076794,1.47874078275236,1.19142327050517,0.591160845363761,0.417729355817762,1.32959888467535,1,0.999719702695893,1.01373456790123,0.981242871282462,0.961704195535027,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.989699074074074,0.986265432098765,0.993132716049383,1.02625776546564,0.710311299464035,0.592592592592593,0.343294232777209,0.941836294503553,1.64874551971326,1.32012866336289,2.00747371803005,1.68374454394233,0.00381065603338988,0.021323704734091
2012,1.16880758571568,1.18750203066692,0.966908883445069,1.07052440396981,0.937729594470909,1.01098439222022,1.4706809951633,1.21369251119251,0.595748194406502,0.418310416511505,1.32725678069435,1,0.999709876812966,1.01421603616464,0.980602847986893,0.960397481306572,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.989337972876517,0.985783963835356,0.992891981917678,1.02640421936364,0.714865732945843,0.972407938023984,0.697345373672519,1.29772518237916,0.944444444444445,0.569017727717121,1.44532491428593,1.75303433388231,0.00290701276528526,0.0194154644833698
2013,1.16522189647571,1.18400096347816,0.966719790277635,1.05696093549111,0.94376540718482,1.01174504977297,1.4629064098276,1.23517373637016,0.600173216307302,0.418870915891764,1.32499755400083,1,0.999704747415515,1.01446737663978,0.979956503591749,0.959077861499821,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.989149467520165,0.98553262336022,0.99276631168011,1.02654192228572,0.719471490247914,0.5351966873706,0.242774808487454,0.987702754874317,0.718454697053919,0.325948003226248,1.3239667232998,2.36689635946175,0.00393992344039722,0.0220402219948413
2014,1.16160022339309,1.18049989628941,0.9665306971102,1.04386907740636,0.949591350865863,1.01247925878059,1.45540215175065,1.2559080457361,0.604444377392548,0.419411926353395,1.32281688205108,1,0.999696782677878,1.014857648784,0.979394792399718,0.957931034482759,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.988856763412002,0.985142351216003,0.992571175608002,1.0267280775571,0.724169895300536,0.543262166133633,0.308033512067305,0.880910869845931,1.58621085235746,1.286771032918,1.91212679415739,1.6265915158828,0.00405117338996885,0.0226565135473047
2015,1.15806315973733,1.17699882910065,0.966341603942766,1.03122465275137,0.95521818438655,1.01318837511976,1.4481543626873,1.27593372970349,0.608569565290411,0.419934446989913,1.32071073775992,1,0.99968528855106,1.01542086099807,0.978748601475067,0.956611728011596,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.988434354251446,0.984579139001928,0.992289569500964,1.02678927992184,0.728839636514654,1.49908069458631,1.19957198601706,1.80093830562379,0.332789115646259,0.0341650080054993,1.13060426743077,2.07598714944312,0.00131859208471943,0.0161367739536281
2016,1.15458721058346,1.17349776191189,0.966152510775331,1.0190051093633,0.960655943574442,1.01387366354608,1.44115011572915,1.29528650539648,0.612556137544762,0.420439409751234,1.31867536468052,1,0.999670912878153,1.01612526897052,0.97806617249604,0.955218435512749,1,1.0130612244898,1.00571428571429,1,0.917551020408163,0.81469387755102,1,1.01673469387755,1.0130612244898,1,0.968979591836735,0.917551020408163,1,1.02040816326531,1.04166666666667,1,1.75,1.5,2,0.987906048272107,0.983874731029477,0.991937365514738,1.02635684072248,0.733216774340962,0.942142088266954,0.52324417504567,1.45649413481359,1.61410788381743,1.11233763117569,2.15004392716011,1.69151038420218,9.63177548371711e-05,0.0118943804559772
