"year","mrate_all_adults","mrate_male_adults","mrate_female_adults","mrate_nsw","mrate_vic","mrate_qld","mrate_nt","mrate_wa","mrate_sa","mrate_tas","mrate_act","pstay_indigenous","pstay_non_indigenous","non_aborig_migration","pstay_nsw","pstay_nsw_lower","pstay_nsw_upper","pstay_aus","pstay_aus_lower","pstay_aus_upper","pstay_os","pstay_os_lower","pstay_os_upper","pstay_vic","pstay_vic_lower","pstay_vic_upper","drate_indigenous","drate_indigenous_lower","drate_indigenous_upper","drate_non_indigenous","drate_non_indigenous_lower","drate_non_indigenous_upper","drate_male","drate_female","drate_nsw","drate_nsw_lower","drate_nsw_upper","drate_vic","drate_vic_lower","drate_vic_upper","drate_qld","drate_qld_lower","drate_qld_upper"
2000,1.21379508028061,1.22951483693203,0.969178001454284,1.25605791957254,0.84918574768202,1.00188148922583,1.42537439761141,0.936870073248116,0.543900988439167,0.426570568896253,1.3668144679355,1,0.999803812575614,1.00961318379492,1.00515157998683,1.01051780913978,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993270771343557,0.991348134584573,0.995193408102541,1.02174196323622,0.661835706203015,1,1,1,1,1,1,1,0.0215252432979253,0.0249816187693934
2001,1.2098978252907,1.22601376974327,0.968988908286849,1.23858682221997,0.857918115565859,1.00256693778989,1.43803893313418,0.961849305451279,0.548455596582488,0.425034204365999,1.36339369967631,1,0.99979880546383,1.00985853227233,1.00439166599623,1.00896631807563,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.993099027409372,0.991127320954907,0.995070733863837,1.02231734112336,0.666091569665988,1,1,1,1,1,1,1,0.0192070177592986,0.0223595228664314
2002,1.20617308219331,1.22251270255451,0.968799815119415,1.22159703717271,0.866409914924881,1.00323350289048,1.4503545726108,0.986140383293326,0.552884729553813,0.423540165234025,1.36006717036636,1,0.999782493890253,1.01065779937758,1.00401570777136,1.00819873669985,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.992539540435691,0.990407980560174,0.994671100311208,1.02617802551072,0.672550809746179,1,1,1,1,1,1,1,0.0166148119303226,0.0193893689245044
2003,1.20255142741744,1.21901163536575,0.96861072195198,1.20506894512527,0.874670951839939,1.00388195425744,1.46233553778056,1.00977135739854,0.557193501986002,0.422086726227761,1.35683103862719,1,0.999770855121682,1.01122809903759,1.00374998428933,1.00765621792404,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.992140330673686,0.989894710866168,0.994385950481204,1.02623998156013,0.676582266323926,1,1,1,1,1,1,1,0.0149262033980709,0.0174556811990537
2004,1.19861534711627,1.21551056817699,0.968421628784546,1.18898397877724,0.882710506580877,1.00451302034697,1.47399528780006,1.0327687742911,0.561386754260623,0.420672254585324,1.35368166905852,1,0.999760370648319,1.01174183823238,1.00337026186489,1.00688095130748,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991780713237336,0.98943234559086,0.994129080883811,1.02675062738907,0.680959429227399,1.36977928692699,1.02851346660053,1.75775465712309,0.373138470076774,0.104195738114868,0.940203179703778,1.35705334390846,0.00238880971738279,0.020310606819798
2005,1.19505086098662,1.21200950098824,0.968232535617111,1.17332455325418,0.890537368383394,1.0051273910715,1.48534656968012,1.05515777587554,0.565469070646813,0.419295203936915,1.350615618615,1,0.999753535901864,1.01207674080868,1.00318797727865,1.0065087869439,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991546281433922,0.989130933272185,0.993961629595658,1.02367243269667,0.682994684211817,0.893457117595049,0.587177347352703,1.2908069344581,1.07959401709402,0.753158768211892,1.48348077651122,1.53634170867128,0.00670551967308502,0.0293075530686406
2006,1.19105504495132,1.20850843379948,0.968043442449677,1.15807400197872,0.898159867501858,1.00572572031561,1.49640146477183,1.07696219112481,0.569444796019269,0.417954108665472,1.34762962405006,1,0.999745283040133,1.01248113103347,1.00266322808267,1.00543742400211,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991263208276573,0.98876698206988,0.993759434483266,1.0244072841591,0.687613964397303,0.583769335759782,0.317165148521511,0.983554588764344,1.70820532514081,1.405134767872,2.03548248639413,1.39374769658502,0.00635063297640195,0.0277735834117017
2007,1.18726298922344,1.20500736661072,0.967854349282242,1.14321651750025,0.905585904783671,1.00630862825756,1.50717143165826,1.09820462067877,0.573318051283624,0.416647578703394,1.34472059033055,1,0.999740890078768,1.01269638614037,1.00203417968602,1.00415311685895,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.991112529701741,0.988573252473667,0.993651806929815,1.02485311779651,0.692094217852854,0.696668157423971,0.424571778480544,1.07077118529096,0.440540158371041,0.170466426056807,0.939005134417227,2.12839049912267,0.0126605866548798,0.03951071652146
2008,1.18401359188474,1.20150629942196,0.967665256114808,1.12873709684149,0.912822978986032,1.00687670351344,1.51766734577181,1.11890651498477,0.577092747624224,0.415374294726445,1.34188557993588,1,0.999736474943451,1.01291272777093,1.00148185773571,1.00302545954374,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990961090560351,0.988378545006165,0.993543636114536,1.02451538371717,0.696096877100944,0.768494663231505,0.486262095257959,1.14059933154087,0.701730801545959,0.34984224571627,1.24539610663982,2.11121028588869,0.00923186474405275,0.0341783706907512
2009,1.17971457055171,1.1980052322332,0.967476162947373,1.11462149096483,0.919878212033538,1.0074305051198,1.52789953602538,1.1390882465478,0.580772599677947,0.414133003709956,1.33912180296367,1,0.99972943850731,1.0132575131418,1.00083117895721,1.00169699037096,1,1.01324489795918,1.02704166666667,1,0.932959183673469,0.863125,1,1.02040816326531,1.04166666666667,1,1.7,1.5,1.9,0.990719740800741,0.988068238172381,0.9933712434291,1.0256892553644,0.701182154337162,1.34463625154131,1.05700430698031,1.65639085788525,0.211010061919505,0.0185937931376717,0.821246923361848,1.13290973692238,0.000596466951767897,0.0137832119561992
