"year","stage","value","lower","upper"
2020,"ipr",0.01746591544469359,0.01147173296684169,0.024579423258446222
2021,"ipr",0.014557009758492733,0.008164200761537073,0.022387931778141235
2022,"ipr",0.011872160134128146,0.004934087349961735,0.020853958798744698
2023,"ipr",0.009068647884082697,0.0016448202170171184,0.01904334605271448
2004,"imr",14.611896611127131,9.311187125471957,23.113259367360804
2005,"imr",9.853225193805168,6.747457117262811,14.523768585415663
2006,"imr",8.794397699890304,6.141884919042642,12.78189528837264
2007,"imr",8.719824550356277,6.0401232006802,12.884036974077079
2008,"imr",9.523453237114802,6.395832998073867,14.641011280080052
2009,"imr",11.830362005685654,7.497485957298332,19.44941546244975
2010,"imr",7.585728625213492,5.301828140795591,11.24232730153895
2011,"imr",8.162148185352315,5.579612809838456,12.280286674571338
2012,"imr",10.533036312806516,6.732758587030728,17.04111730444605
2013,"imr",7.725074963053971,5.191255651990725,11.811302321850293
2014,"imr",5.087077343267726,3.6055029717611906,7.216179765521163
2015,"imr",10.253630094090823,5.833234548351357,18.357595879755817
2016,"imr",5.886641629959671,3.718919147924952,9.495558053022904
2017,"imr",3.8598346600644673,2.544368009421881,5.8745959090553335
2018,"imr",4.247380576884756,2.544272664945175,7.023670297818525
2019,"imr",3.839730948360638,2.1250492800691605,6.7999092855721015
2020,"imr",3.766892148476571,1.7438967262934546,7.648217132395476
2021,"imr",1.873840035018617,0.8001856716788174,3.8238909962369996
2022,"imr",1.7531758048577653,0.502025342664296,4.560677741910094
2023,"imr",1.137535593132155,0.1415029464616537,3.542890620903419
2004,"diagnoses_indicators",114.08772954253969,113.09566232912631,115.07979675595308
2005,"diagnoses_indicators",87.38529251915432,87.38529251915432,87.38529251915432
2006,"diagnoses_indicators",125.9710421011669,125.11796506662175,126.06582843833858
2007,"diagnoses_indicators",101.20944649484827,101.20944649484827,101.20944649484827
2008,"diagnoses_indicators",102.59663878254712,101.92980826121209,102.8824232916907
2009,"diagnoses_indicators",119.53855645692909,118.64151641315078,119.63822757290446
2010,"diagnoses_indicators",104.22173696041084,102.53260656220168,105.3478238925503
2011,"diagnoses_indicators",113.49295387757115,113.49295387757115,113.49295387757115
2012,"diagnoses_indicators",105.51181767335693,104.9123283818124,105.91147720105329
2013,"diagnoses_indicators",104.41145298896713,104.41145298896713,104.41145298896713
2014,"diagnoses_indicators",377.12614442989513,377.12614442989513,377.12614442989513
2015,"diagnoses_indicators",382.7520975792816,382.7520975792816,382.7520975792816
2016,"diagnoses_indicators",315.85433172601427,315.85433172601427,315.85433172601427
2017,"diagnoses_indicators",338,338,338
2018,"diagnoses_indicators",273,273,273
2019,"diagnoses_indicators",278.4,278,279
2020,"diagnoses_indicators",188,188,188
2021,"diagnoses_indicators",133.7,133,134
2022,"diagnoses_indicators",162.5,162,163
2023,"diagnoses_indicators",217,217,217
2004,"ydfoffest",489.16479995501714,446.4194737456866,533.9662450640583
2005,"ydfoffest",464.56971292635706,424.5677852292199,506.94441865844885
2006,"ydfoffest",513.761315543328,475.28708702751766,554.0620630432928
2007,"ydfoffest",489.5981498707922,451.68875807251607,525.8228431419273
2008,"ydfoffest",489.8522658216321,448.42005167173096,528.5213723482661
2009,"ydfoffest",505.4627524444699,466.3435159279336,544.5951420102064
2010,"ydfoffest",484.6870828126894,444.696252357263,526.8814409270161
2011,"ydfoffest",485.67836931779397,444.13842083151667,527.7401678453111
2012,"ydfoffest",470.25889326464454,425.30675021297,518.381811885161
2013,"ydfoffest",461.86770875905165,419.19398947867825,510.4476451885401
2014,"ydfoffest",728.9105479692162,686.4220818015615,778.7632064658558
2015,"ydfoffest",729.092454624175,688.9861518016164,777.509376253167
2016,"ydfoffest",654.5619493301554,616.3265446883727,697.7630446381024
2017,"ydfoffest",672.7119491608064,630.4736587698961,715.37820542812506
2018,"ydfoffest",600.6132614589362,554.510448221296,637.6053899964837
2019,"ydfoffest",601.5086765838976,550.4437944053539,639.7731051029164
2020,"ydfoffest",505.274137698942,446.1351374050858,556.6986357619635
2021,"ydfoffest",446.7725253677794,372.864263542652,519.5513768800004
2022,"ydfoffest",451.8213993073643,360.91899468726933,537.0552810528059
2023,"ydfoffest",449.8891069407532,336.0997251849036,560.9997458875066
2004,"iproffset",1473.405181060294,1350.1706407574472,1601.3046402929554
2005,"iproffset",1595.4110346984578,1461.7523456876404,1738.7568964815505
2006,"iproffset",1671.611611029515,1527.689838485814,1825.668896594866
2007,"iproffset",1802.6495293798016,1646.5824971637776,1969.0899490327463
2008,"iproffset",1916.8826209210008,1745.3636887705666,2095.0901575123157
2009,"iproffset",2031.9098757903805,1839.745674131333,2229.7050176841144
