"year","indicator","value"
2013,"ipr","3·9% (3·3‒4·8%)"
2014,"ipr","3·6% (3‒4·4%)"
2015,"ipr","3·3% (2·6‒4%)"
2016,"ipr","3% (2·3‒3·8%)"
2017,"ipr","2·7% (2‒3·4%)"
2018,"ipr","2·4% (1·8‒3·1%)"
2019,"ipr","2·1% (1·5‒2·8%)"
2020,"ipr","1·7% (1·1‒2·5%)"
2021,"ipr","1·5% (0·8‒2·2%)"
2022,"ipr","1·2% (0·5‒2·1%)"
2023,"ipr","0·9% (0·2‒1·9%)"
2004,"imr","14·61 (9·31‒23·11)"
2005,"imr","9·85 (6·75‒14·52)"
2006,"imr","8·79 (6·14‒12·78)"
2007,"imr","8·72 (6·04‒12·88)"
2008,"imr","9·52 (6·4‒14·64)"
2009,"imr","11·83 (7·5‒19·45)"
2010,"imr","7·59 (5·3‒11·24)"
2011,"imr","8·16 (5·58‒12·28)"
2012,"imr","10·53 (6·73‒17·04)"
2013,"imr","7·73 (5·19‒11·81)"
2014,"imr","5·09 (3·61‒7·22)"
2015,"imr","10·25 (5·83‒18·36)"
2016,"imr","5·89 (3·72‒9·5)"
2017,"imr","3·86 (2·54‒5·87)"
2018,"imr","4·25 (2·54‒7·02)"
2019,"imr","3·84 (2·13‒6·8)"
2020,"imr","3·77 (1·74‒7·65)"
2021,"imr","1·87 (0·8‒3·82)"
2022,"imr","1·75 (0·5‒4·56)"
2023,"imr","1·14 (0·14‒3·54)"
2004,"diagnoses_indicators","110 (110‒120)"
2005,"diagnoses_indicators","90 (90‒90)"
2006,"diagnoses_indicators","130 (130‒130)"
2007,"diagnoses_indicators","100 (100‒100)"
2008,"diagnoses_indicators","100 (100‒100)"
2009,"diagnoses_indicators","120 (120‒120)"
2010,"diagnoses_indicators","100 (100‒110)"
2011,"diagnoses_indicators","110 (110‒110)"
2012,"diagnoses_indicators","110 (100‒110)"
2013,"diagnoses_indicators","100 (100‒100)"
2014,"diagnoses_indicators","380 (380‒380)"
2015,"diagnoses_indicators","380 (380‒380)"
2016,"diagnoses_indicators","320 (320‒320)"
2017,"diagnoses_indicators","340 (340‒340)"
2018,"diagnoses_indicators","270 (270‒270)"
2019,"diagnoses_indicators","280 (280‒280)"
2020,"diagnoses_indicators","190 (190‒190)"
2021,"diagnoses_indicators","130 (130‒130)"
2022,"diagnoses_indicators","160 (160‒160)"
2023,"diagnoses_indicators","220 (220‒220)"
2004,"ydfoffest","490 (450‒530)"
2005,"ydfoffest","460 (420‒510)"
2006,"ydfoffest","510 (480‒550)"
2007,"ydfoffest","490 (450‒530)"
2008,"ydfoffest","490 (450‒530)"
2009,"ydfoffest","510 (470‒540)"
2010,"ydfoffest","480 (440‒530)"
2011,"ydfoffest","490 (440‒530)"
2012,"ydfoffest","470 (430‒520)"
2013,"ydfoffest","460 (420‒510)"
2014,"ydfoffest","730 (690‒780)"
2015,"ydfoffest","730 (690‒780)"
2016,"ydfoffest","650 (620‒700)"
2017,"ydfoffest","670 (630‒720)"
2018,"ydfoffest","600 (550‒640)"
2019,"ydfoffest","600 (550‒640)"
2020,"ydfoffest","510 (450‒560)"
2021,"ydfoffest","450 (370‒520)"
2022,"ydfoffest","450 (360‒540)"
2023,"ydfoffest","450 (340‒560)"
2004,"iproffset","1,470 (1,350‒1,600)"
2005,"iproffset","1,600 (1,460‒1,740)"
2006,"iproffset","1,670 (1,530‒1,830)"
2007,"iproffset","1,800 (1,650‒1,970)"
2008,"iproffset","1,920 (1,750‒2,100)"
2009,"iproffset","2,030 (1,840‒2,230)"
2010,"iproffset","2,150 (1,940‒2,370)"
2011,"iproffset","2,260 (2,030‒2,500)"
2012,"iproffset","2,370 (2,120‒2,630)"
2013,"iproffset","2,480 (2,210‒2,780)"
2014,"iproffset","2,610 (2,320‒2,920)"
2015,"iproffset","2,750 (2,430‒3,090)"
2016,"iproffset","2,890 (2,550‒3,250)"
2017,"iproffset","3,010 (2,660‒3,380)"
2018,"iproffset","3,150 (2,800‒3,530)"
2019,"iproffset","3,300 (2,940‒3,650)"
2020,"iproffset","3,470 (3,120‒3,810)"
2021,"iproffset","3,630 (3,290‒3,960)"
2022,"iproffset","3,750 (3,400‒4,080)"
2023,"iproffset","3,910 (3,570‒4,210)"
2004,"imroffset","10 (0‒10)"
2005,"imroffset","10 (10‒10)"
2006,"imroffset","10 (10‒20)"
2007,"imroffset","10 (10‒20)"
2008,"imroffset","10 (10‒20)"
2009,"imroffset","10 (10‒10)"
2010,"imroffset","10 (10‒20)"
2011,"imroffset","10 (10‒20)"
2012,"imroffset","10 (10‒10)"
2013,"imroffset","10 (10‒20)"
2014,"imroffset","20 (10‒20)"
2015,"imroffset","10 (10‒10)"
2016,"imroffset","10 (10‒20)"
2017,"imroffset","20 (20‒30)"
2018,"imroffset","20 (10‒20)"
2019,"imroffset","20 (10‒30)"
2020,"imroffset","20 (10‒30)"
2021,"imroffset","30 (20‒40)"
2022,"imroffset","30 (20‒40)"
2023,"imroffset","30 (20‒50)"
