year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
2000,9821.57346290083,9168.76480537014,10511.486542051745,7523.529166,1748.23565,1748.23565,1748.23565,18.855479,18.855479,18.855479,9720.480973032036,9073.813119721737,10403.009172949554,7523.529166,1748.23565,1660.016373,1888.974354,18.855479,17.853874,20.042978,2282.2301194143042,2282.2301194143042,2282.2301194143042,18.855478807908536,17.838679562822055,19.93040896799861,2258.7393492137217,2144.759090134183,2440.5752754414825,18.697689243184005,16.559209802700625,21.57219357985622,2258.7393492137217,2144.759090134183,2440.5752754414825,12080.312812114551,11313.523895504322,12952.061817493228,18.697689243184005,16.559209802700625,21.57219357985622,yes,exclude
2001,10209.478269554837,9512.442062876788,10948.500369598543,7965.626167,1771.555547,1771.555547,1771.555547,18.19372,18.19372,18.19372,10100.67435366853,9409.49103029143,10831.848007626113,7965.626167,1771.555547,1671.777902,1906.144251,18.19372,17.251064,19.241212,2270.5883355831143,2270.5883355831143,2270.5883355831143,18.193719692556208,17.176587480596012,19.269986232742735,2246.390340763543,2119.869025452997,2417.0532167616857,18.034794770576212,15.860690032445486,20.77878762361002,2246.390340763543,2119.869025452997,2417.0532167616857,12455.868610318379,11632.311088329785,13365.553586360229,18.034794770576212,15.860690032445486,20.77878762361002,yes,exclude
2002,10716.165404238469,9971.85267226634,11508.468738670428,8454.83303,1810.781064,1810.781064,1810.781064,17.639286,17.639286,17.639286,10578.833303507905,9841.338002320808,11362.294362127044,8454.83303,1810.781064,1702.19667,1951.869228,17.639286,16.690674,18.703114,2295.0931525003666,2295.0931525003666,2295.0931525003666,17.639286334154693,16.626818284984708,18.709572743580733,2265.6805826010122,2129.8179109891016,2442.212533351314,17.452684193741597,15.266766328182673,20.180788400656834,2265.6805826010122,2129.8179109891016,2442.212533351314,12981.845986839482,12101.67058325544,13950.681272021742,17.452684193741597,15.266766328182673,20.180788400656834,yes,exclude
2003,11207.952717611397,10413.241666849492,12056.217456765902,8985.378848,1859.252018,1859.252018,1859.252018,17.144447,17.144447,17.144447,11064.601877763193,10277.415140698615,11903.293896176076,8985.378848,1859.252018,1744.638106,1992.908026,17.144447,16.210399,18.189837,2319.146366600432,2319.146366600432,2319.146366600432,17.144447247431096,16.132783803570884,18.21454357586088,2289.4842518717805,2148.348599454047,2454.0683547914145,16.96236298082484,14.805694576621681,19.536287227696416,2289.4842518717805,2148.348599454047,2454.0683547914145,13497.436969483177,12561.590266303538,14510.285811557316,16.96236298082484,14.805694576621681,19.536287227696416,yes,exclude
2004,11820.534491972277,10919.86275358743,12765.853911073675,9621.689811,1913.21769,1913.21769,1913.21769,16.586329,16.586329,16.586329,11652.505133230701,10761.085009437846,12586.692852652252,9621.689811,1913.21769,1804.9728,2045.143551,16.586329,15.735965,17.554951,2350.4453104943814,2350.4453104943814,2350.4453104943814,16.58632884428537,15.549079017572947,17.712062893673384,2317.0336387507955,2185.9418907161644,2476.80461481686,16.38919520900862,14.3409490346006,18.898531467836257,2317.0336387507955,2185.9418907161644,2476.80461481686,14137.568130723073,13105.804644303593,15242.658525890534,16.38919520900862,14.3409490346006,18.898531467836257,yes,exclude
2005,12454.77585136487,11439.131612574529,13508.576759154204,10239.976417,1967.295051,1967.295051,1967.295051,16.115764,16.115764,16.115764,12288.746970609698,11283.88479958395,13330.056751070557,10239.976417,1967.295051,1868.1399,2099.673611,16.115764,15.371315,16.957323,2392.800324522898,2392.800324522898,2392.800324522898,16.115763921176363,15.047755373206813,17.2991042423031,2360.9030054147734,2241.9093171628447,2519.767299816173,15.935165902535921,13.987154935747366,18.41795016005806,2360.9030054147734,2241.9093171628447,2519.767299816173,14815.678856779643,13681.040929737374,16028.344058970377,15.935165902535921,13.987154935747366,18.41795016005806,yes,exclude
2006,13093.17907783199,11955.24854503033,14265.353803471888,10866.996214,2017.757804,2017.757804,2017.757804,15.660041,15.660041,15.660041,12905.34053405508,11780.347162525502,14063.392979031381,10866.996214,2017.757804,1926.20172,2145.716326,15.660041,14.957214,16.34988,2431.1101010074412,2431.1101010074412,2431.1101010074412,15.660041326215405,14.560628615231652,16.898717464387744,2396.2326905313453,2287.5032478485236,2548.1926496704627,15.470133574895202,13.605120455839364,17.891153947824307,2396.2326905313453,2287.5032478485236,2548.1926496704627,15489.411768363336,14242.751792878855,16813.54645314235,15.470133574895202,13.605120455839364,17.891153947824307,yes,exclude
2007,13740.908444060668,12475.563773437352,15037.61162040437,11523.359573,2061.997285,2061.997285,2061.997285,15.178087,15.178087,15.178087,13510.267590006364,12260.442127062339,14790.380951930685,11523.359573,2061.997285,1976.343685,2181.811706,15.178087,14.536472,15.771956,2458.8068892230403,2458.8068892230403,2458.8068892230403,15.178087013487268,14.053201161541038,16.46408104340589,2417.5358682280544,2317.113500192367,2558.0092153103114,14.961439489502617,13.168694198554277,17.292401963438806,2417.5358682280544,2317.113500192367,2558.0092153103114,16158.444312288722,14792.677273629719,17595.620835714682,14.961439489502617,13.168694198554277,17.292401963438806,yes,exclude
2008,14275.500834963019,12881.679441007884,15699.528500449525,12219.386409,2098.224337,2098.224337,2098.224337,14.65485,14.65485,14.65485,14007.282659877246,12631.931903973433,15411.233956068063,12219.386409,2098.224337,2003.647954,2206.112756,14.65485,14.046647,15.167358,2451.2853814592245,2451.2853814592245,2451.2853814592245,14.654849710774503,13.505098985684965,15.987028013443307,2405.228903355202,2296.8144474006804,2528.9031640813546,14.419206719895586,12.600175866308083,16.661094194679055,2405.228903355202,2296.8144474006804,2528.9031640813546,16680.72973831822,15178.493888408564,18228.43166453088,14.419206719895586,12.600175866308083,16.661094194679055,yes,exclude
2009,15003.148555515647,13478.799531508908,16557.012843706696,12965.209559,2125.245878,2125.245878,2125.245878,14.083378,14.083378,14.083378,14642.39804269356,13141.266794171626,16171.603208006365,12965.209559,2125.245878,2008.917556,2210.437696,14.083378,13.475274,14.524881,2459.3030663740838,2459.3030663740838,2459.3030663740838,14.083377979362705,12.932594714996176,15.430337778731236,2400.1691559754413,2268.792521713465,2496.381446525793,13.79144595165699,11.907550366899908,15.852464542443917,2400.1691559754413,2268.792521713465,2496.381446525793,17403.317711491087,15747.592053222374,19053.39429023249,13.79144595165699,11.907550366899908,15.852464542443917,yes,exclude
