year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
2008,145.6,0.9686161135225071,0.9734109849728068,0.9686161135225071,141.03048839069214,4.569511609307847,2193.2,0.9734109849728068,2134.884161493076,58.315838506924095,0.9686161135225071,141.03048839069214,4.569511609307847,0.9734109849728068,2134.884161493076,58.315838506924095
2009,145.4,0.9872036716359781,0.9742684149838531,0.9872036716359781,143.5393384845755,1.8606615154244992,2338.6,0.9742684149838531,2278.4234999776513,60.17650002234859,0.9872036716359781,143.5393384845755,1.8606615154244992,0.9742684149838531,2278.4234999776513,60.17650002234859
2010,154.8,0.9560453560732209,0.9731371488841398,0.9560453560732209,147.99623288591079,6.803767114089214,2493.4,0.9731371488841398,2426.4197328635623,66.9802671364378,0.9560453560732209,147.99623288591079,6.803767114089214,0.9731371488841398,2426.4197328635623,66.9802671364378
2011,144.9,1.0003256470400714,0.974630145966172,1.0003256470400714,144.94646712374325,-0.046467123743241245,2638.3,0.974630145966172,2571.3661999873057,66.93380001269456,1.0003256470400714,144.94646712374325,-0.046467123743241245,0.974630145966172,2571.3661999873057,66.93380001269456
2012,160.5,0.9417275801889837,0.9727431388639285,0.9417275801889837,151.1472161772149,9.352783822785113,2798.8,0.9727431388639285,2722.51341616452,76.28658383547968,0.9417275801889837,151.1472161772149,9.352783822785113,0.9727431388639285,2722.51341616452,76.28658383547968
2013,162,1.0162864387864259,0.9751257029518362,1.0162864387864259,164.638403083401,-2.6384030834009993,2960.8,0.9751257029518362,2887.151819247921,73.64818075207867,1.0162864387864259,164.638403083401,-2.6384030834009935,0.9751257029518362,2887.151819247921,73.64818075207867
2014,182.8,1.012406472675833,0.9772936333678273,1.012406472675833,185.06806458610964,-2.268064586109631,3143.6,0.9772936333678273,3072.219883834031,71.38011616596904,1.012406472675833,185.06806458610964,-2.2680645861096336,0.9772936333678273,3072.219883834031,71.38011616596904
2015,168,1.026242045615634,0.9797769007964583,1.026242045615634,172.40866366342652,-4.408663663426523,3311.6,0.9797769007964583,3244.6285474974575,66.97145250254252,1.026242045615634,172.40866366342652,-4.408663663426521,0.9797769007964583,3244.6285474974575,66.97145250254252
2016,161,0.9505574047099048,0.9784221786066362,0.9505574047099048,153.03974215829467,7.960257841705333,3472.6,0.9784221786066362,3397.6682896557522,74.93171034424786,0.9505574047099048,153.03974215829467,7.960257841705333,0.9784221786066362,3397.6682896557522,74.93171034424786
2017,166.9,1,0.9794117046420896,0.9467999527578185,158.02108965899097,8.878910341009032,3639.5,0.9769720906909622,3555.6893793147433,83.8106206852569,1,166.9,0,0.9794117046420896,3564.5682896557523,74.93171034424786
2018,149.8,1,0.9802255875759671,0.9858570765963766,147.68088146249335,2.1191185375066652,3789.3,0.9773231654869716,3703.3702607772366,85.92973922276356,1,149.8,0,0.9802255875759671,3714.368289655752,74.93171034424786
2019,169.1,1,0.9810703077216355,1.042977947917397,176.36806863237,-7.2680686323700225,3958.4,0.9801280131827024,3879.7383294096066,78.66167059039353,1,169.1,0,0.9810703077216355,3883.468289655752,74.93171034424786
2020,159,1,0.9818013051155957,0.9545476571419045,151.77307748556282,7.226922514437183,4117.4,0.9791401807940916,4031.5114068951693,85.88859310483072,1,159,0,0.9818013051155957,4042.468289655752,74.93171034424786
2021,114.4,1,0.9822932974353902,1.0603122061448822,121.29700120664033,-6.897001206640335,4231.8,0.9813340044368326,4152.80840810181,78.99159189819038,1,114.4,0,0.9822932974353902,4156.868289655752,74.93171034424786
2022,155.3,1,0.9829201167735843,0.9763529312647885,151.62420322663266,3.6757967733673467,4387.1,0.9811569373078877,4304.432611328442,82.66738867155773,1,155.3,0,0.9829201167735843,4312.168289655752,74.93171034424786
2023,205.9,1,0.9836857454813275,0.9227077755338068,189.98608297963582,15.91391702036417,4593,0.978536758030949,4494.418694308079,98.5813056919219,1,205.9,0,0.9836857454813275,4518.068289655752,74.93171034424786
