year,pldhiv,pldhiv_lower,pldhiv_upper,ecdc_diagnosed,undiagnosed,undiagnosed_lower,undiagnosed_upper,percent,percent_lower,percent_upper,pldhiv_exclude,pldhiv_lower_exclude,pldhiv_upper_exclude,ecdc_diagnosed_exclude,undiagnosed_exclude,undiagnosed_lower_exclude,undiagnosed_upper_exclude,percent_exclude,percent_lower_exclude,percent_upper_exclude,undiag_adjusted,undiag_adjusted_lower,undiag_adjusted_upper,percent_adjusted,percent_adjusted_lower,percent_adjusted_upper,undiag_adjusted_exclude,undiag_adjusted_lower_exclude,undiag_adjusted_upper_exclude,percent_adjusted_exclude,percent_adjusted_lower_exclude,percent_adjusted_upper_exclude,final_undiagnosed,final_undiagnosed_lower,final_undiagnosed_upper,plhiv,plhiv_lower,plhiv_upper,undiag_percent,undiag_percent_lower,undiag_percent_upper,adjusted,method
2011,1996.8566511806794,1786.6667675633544,2217.3472349721155,1793.572441,388.044185,388.044185,388.044185,17.787002,17.787002,17.787002,1720.2718913974177,1529.1734484918966,1921.860864833924,1793.572441,388.044185,344.734225,431.898231,17.787002,15.965951,19.583095,432.0252664772273,432.0252664772273,432.0252664772273,17.78700163793123,16.306701539360258,19.472070023636512,372.1854154402228,330.6454669539455,414.24721396774004,15.71037596521415,12.564453732114645,19.5647674072114,372.1854154402228,330.6454669539455,414.24721396774004,2369.042066620902,2117.3122345172997,2631.5944489398557,15.71037596521415,12.564453732114645,19.5647674072114,yes,exclude
2012,2120.1247145252114,1889.895988850497,2362.5922403316104,1890.420756,382.994212,382.994212,382.994212,16.846648,16.846648,16.846648,1800.3547332670162,1592.6252947887958,2020.2484986569507,1890.420756,382.994212,336.422736,433.104914,16.846648,15.153721000000001,18.648117,429.5316224200981,429.5316224200981,429.5316224200981,16.846647769585722,15.383687957051583,18.51886303038353,364.7470755912876,320.39442183115756,412.47033468410774,14.678708054156271,11.545484585310398,18.661363804989847,364.7470755912876,320.39442183115756,412.47033468410774,2484.871790116499,2210.2904106816545,2775.0625750157183,14.678708054156271,11.545484585310398,18.661363804989847,yes,exclude
2013,2252.2568304244596,2000.7993296697048,2518.285495443941,1982.181605,377.687067,377.687067,377.687067,16.00458,16.00458,16.00458,1876.006029032592,1651.3925641858907,2115.0109712377357,1982.181605,377.687067,332.59816,429.016463,16.00458,14.506702,17.754304,429.1474980233865,429.1474980233865,429.1474980233865,16.0045798938425,14.56004255141835,17.66077731136218,357.4562557700845,314.7825364897111,406.03619219957295,13.697147692634804,10.764292376580848,17.53495301261007,357.4562557700845,314.7825364897111,406.03619219957295,2609.7130861945443,2315.5818661594158,2924.3216876435135,13.697147692634804,10.764292376580848,17.53495301261007,yes,exclude
2014,2399.023644205286,2124.928431826042,2689.533935606331,2065.007588,373.210957,373.210957,373.210957,15.306707,15.306707,15.306707,1946.452667113822,1705.2411920932684,2204.360624811013,2065.007588,373.210957,328.134595,426.100051,15.306707,13.968413,16.915052,433.578024275755,433.578024275755,433.578024275755,15.30670652002608,13.882884438511288,16.946528442080428,351.78440353932103,309.2959373716663,401.6370620359607,12.788402441520768,10.005785432367654,16.499590880701582,351.78440353932103,309.2959373716663,401.6370620359607,2750.808047744607,2434.2243691977083,3091.1709976422917,12.788402441520768,10.005785432367654,16.499590880701582,yes,exclude
2015,2541.297871854153,2244.606455410669,2856.6055613677495,2152.144362,368.682364,368.682364,368.682364,14.625454,14.625454,14.625454,2021.725256018035,1763.54550436446,2298.7384491942744,2152.144362,368.682364,325.988851,420.222604,14.625454,13.37381,16.135125,435.347982954388,435.347982954388,435.347982954388,14.625454427207623,13.2246089470267,16.244603890354867,346.34035704489344,306.23405422233475,394.7572786738854,11.993897074043817,9.418636715993632,15.47557666514714,346.34035704489344,306.23405422233475,394.7572786738854,2887.6382288990467,2550.8405096330034,3251.362840041635,11.993897074043817,9.418636715993632,15.47557666514714,yes,exclude
2016,2670.3060198299804,2359.582851399788,2999.5312286645435,2231.02038,363.374062,363.374062,363.374062,14.006122,14.006122,14.006122,2079.5749525349597,1811.648210857978,2366.453885905665,2231.02038,363.374062,322.354157,409.721285,14.006122,12.697607,15.386945,434.9220445976708,434.9220445976708,434.9220445976708,14.006122435256124,12.663501582147315,15.563474060131554,338.70761760414103,300.47221296235847,381.9087129120881,11.256433450164335,8.885924876792583,14.357173203994025,338.70761760414103,300.47221296235847,381.9087129120881,3009.0136374341214,2660.0550643621464,3381.4399415766316,11.256433450164335,8.885924876792583,14.357173203994025,yes,exclude
2017,2820.002768841972,2503.728523805014,3150.959611243336,2301.338127,356.758652,356.758652,356.758652,13.421582,13.421582,13.421582,2159.1217643861078,1888.6318492790854,2446.1687947540527,2301.338127,356.758652,311.738223,402.235236,13.421582,11.938196,14.653128,437.1632202347506,437.1632202347506,437.1632202347506,13.421582495360303,12.183619144795726,14.864988523319123,334.71194916080634,292.47365876989613,377.378205428125,10.609895951945521,8.289275969776837,13.496098664818742,334.71194916080634,292.47365876989613,377.378205428125,3154.7147180027782,2796.2021825749102,3528.337816671461,10.609895951945521,8.289275969776837,13.496098664818742,yes,exclude
2018,2968.8584991879693,2656.899250430116,3288.681596282015,2370.279142,348.445932,348.445932,348.445932,12.81652,12.81652,12.81652,2228.566354101413,1962.9955951773222,2505.6370644986923,2370.279142,348.445932,299.411477,387.790361,12.81652,11.235943,13.9225,436.4408598106262,436.4408598106262,436.4408598106262,12.816519600760488,11.716147991237264,14.109048609487038,327.61326145893617,281.51044822129603,364.6053899964837,9.938300256958511,7.70567571829507,12.40825573655777,327.61326145893617,281.51044822129603,364.6053899964837,3296.4717606469053,2938.409698651412,3653.2869862784987,9.938300256958511,7.70567571829507,12.40825573655777,yes,exclude
2019,3149.6519807126483,2851.106591327062,3446.720246272159,2434.888528,338.12409,338.12409,338.12409,12.193384,12.193384,12.193384,2326.760006692792,2072.2631505648174,2585.523746274143,2434.888528,338.12409,285.104724,377.538849,12.193384,10.422428,13.465545,437.38068398142366,437.38068398142366,437.38068398142366,12.193384473088612,11.26079604612304,13.30036114980539,323.10867658389753,272.44379440535386,360.7731051029163,9.304087107328302,7.155463431261432,11.550097182707095,323.10867658389753,272.44379440535386,360.7731051029163,3472.760657296546,3123.5503857324156,3807.4933513750752,9.304087107328302,7.155463431261432,11.550097182707095,yes,exclude
2020,3316.6449760213804,3028.4723406399016,3595.6819503306374,2492.688194,328.844709,328.844709,328.844709,11.654825,11.654825,11.654825,2404.981669641773,2158.2193889186447,2649.99361598376,2492.688194,328.844709,267.548987,382.144591,11.654825,9.66531,13.386147,437.5441559924454,437.5441559924454,437.5441559924454,11.654824533513514,10.848490624080965,12.623833626226888,317.274137698942,258.1351374050858,368.69863576196343,8.730908084911226,6.511361152121641,11.218213255611555,317.274137698942,258.1351374050858,368.69863576196343,3633.9191137203225,3286.6074780449876,3964.380586092601,8.730908084911226,6.511361152121641,11.218213255611555,yes,exclude
2021,3435.085054825427,3159.8355097333774,3691.4396800691657,2532.16672,321.499992,321.499992,321.499992,11.266207,11.266207,11.266207,2465.7911334649325,2228.6409905473174,2693.812191137426,2532.16672,321.499992,246.321068,395.929871,11.266207,8.888045,13.406141,436.1402465812734,436.1402465812734,436.1402465812734,11.26620675946687,10.566488216624416,12.128564710576729,313.0725253677794,239.864263542652,385.55137688000036,8.352704459977414,5.883364966764085,11.340747789281233,313.0725253677794,239.864263542652,385.55137688000036,3748.1575801932063,3399.699773276029,4076.991056949166,8.352704459977414,5.883364966764085,11.340747789281233,yes,exclude
2022,3619.426790399805,3372.5621836587643,3831.894359173437,2587.970417,291.612285,291.612285,291.612285,10.126894,10.126894,10.126894,2567.639502610472,2351.6700391070112,2763.4680602363696,2587.970417,291.612285,200.494062,377.017101,10.126894,7.098155,12.790507,407.8367008391902,407.8367008391902,407.8367008391902,10.126893900198183,9.619400265402106,10.78819228604634,289.3213993073643,198.9189946872693,374.0552810528058,7.401894040379187,4.729466867239267,10.47339359705186,289.3213993073643,198.9189946872693,374.0552810528058,3908.7481897071693,3571.4811783460336,4205.949640226243,7.401894040379187,4.729466867239267,10.47339359705186,yes,exclude
2023,3850.784181459621,3633.7571562652392,4019.6973363811676,2661.309329,231.302387,231.302387,231.302387,7.996316,7.996316,7.996316,2679.565744922058,2485.4858422218,2842.6236390792296,2661.309329,231.302387,118.288275,341.656007,7.996316,4.1660450000000004,11.436598,334.6832190033823,334.6832190033823,334.6832190033823,7.996316467937586,7.686126987443002,8.433620953186875,232.8891069407532,119.09972518490362,343.99974588750666,5.70293190697385,2.7293307243724625,9.166343315351305,232.8891069407532,119.09972518490362,343.99974588750666,4083.673288400374,3752.8568814501427,4363.697082268674,5.70293190697385,2.7293307243724625,9.166343315351305,yes,exclude
