"year","stage","value","lower","upper"
2007,"propoverall",0.42569676389387767,0,0
2008,"propoverall",0.4436012591646359,0,0
2009,"propoverall",0.4649601190913741,0,0
2010,"propoverall",0.5261027137732865,0,0
2011,"propoverall",0.5631345693000123,0,0
2012,"propoverall",0.6123755828068488,0,0
2013,"propoverall",0.6723003608581618,0,0
2014,"propoverall",0.7103218929272935,0,0
2015,"propoverall",0.7492301436855334,0,0
2016,"propoverall",0.7614016076696242,0,0
2017,"propoverall",0.7957152639736084,0,0
2018,"propoverall",0.8021929073426852,0,0
2019,"propoverall",0.8116160596192948,0,0
2020,"propoverall",0.8170544167191851,0,0
2021,"propoverall",0.8303860832414968,0,0
2022,"propoverall",0.8478097911505499,0,0
2023,"propoverall",0.8675005267333994,0,0
2004,"ydf",0.2462386103628467,0.2362437857133756,0.25616175230097854
2005,"ydf",0.2559893711840789,0.2462422473456579,0.26592157093540086
2006,"ydf",0.26648673771715015,0.25774540753049985,0.276558611370373
2007,"ydf",0.25483868829088724,0.24725532349159626,0.26412416442321096
2008,"ydf",0.23111515098465046,0.22477836840443796,0.2392762410672341
2009,"ydf",0.2605020398733286,0.2535108603687462,0.2692342937434635
2010,"ydf",0.25235501711764985,0.24539150035760357,0.2611613129288368
2011,"ydf",0.26675313903636083,0.2593819764114316,0.27748205376044777
2012,"ydf",0.29349964024189495,0.2848414960581888,0.30465596114552895
2013,"ydf",0.26797501256483525,0.2587950398403225,0.2807067569341505
2014,"ydf",0.3067944964649966,0.2973478285099344,0.32034237060219406
2015,"ydf",0.30372645945156374,0.29425596788099895,0.316420054737387
2016,"ydf",0.3011612824971185,0.29186475573450327,0.312566393959325
2017,"ydf",0.29091590593826167,0.28158798025060894,0.3010095945163694
2018,"ydf",0.2631481222447647,0.25362750505959486,0.2719945982705051
2019,"ydf",0.2738199784899114,0.2627248201897225,0.2822555520614925
2020,"ydf",0.20555335398467725,0.19369931031999504,0.21548566190559007
2021,"ydf",0.1756860697976941,0.16235428737129637,0.18902250359993997
2022,"ydf",0.18176431856283862,0.1636072328184452,0.20310716090018113
2023,"ydf",0.24930424643766233,0.21672369250111018,0.2925917783356476
2004,"cdr",0.9536201072412092,0.932177530772916,0.9770740060368927
2005,"cdr",0.989449011895259,0.970827773016619,1.0114095749882852
2006,"cdr",1.0357208878477104,1.0161091359217633,1.0578584228351984
2007,"cdr",0.9635110323779128,0.9454927483441877,0.9834493461792557
2008,"cdr",0.8311223897699556,0.8140240540977959,0.8489537614640336
2009,"cdr",0.9649409895188987,0.9404611385029431,0.9870208681472965
2010,"cdr",0.9146849374848464,0.8881202046605922,0.9404869987427152
2011,"cdr",0.979400573515099,0.9488496319047638,1.0110367153476845
2012,"cdr",1.1219124637558429,1.0845057837331233,1.1559646470552796
2013,"cdr",0.9946632641277383,0.9614296818461372,1.0246365119620797
2014,"cdr",1.227285759871998,1.187894148410706,1.2613651691588774
2015,"cdr",1.2504566809051298,1.2106562942408556,1.280083708594833
2016,"cdr",1.2944123877524347,1.25438709549014,1.3243237540834323
2017,"cdr",1.3028440233726413,1.251809081048365,1.3520972879635096
2018,"cdr",1.2082206872343828,1.1435593777399222,1.2784199285163123
2019,"cdr",1.3816610078008902,1.2828933997409806,1.501026962731815
2020,"cdr",1.0571242437520054,0.9473997539432223,1.1919194825616106
2021,"cdr",1.0198114831445833,0.8696222401090717,1.2244163775456223
2022,"cdr",1.229974582981072,0.9775851276001342,1.6486632408300004
2023,"cdr",2.0414342780817765,1.4602049869285765,3.3804636803521158
2004,"ipr",0.061247642172888944,0.0555128178014313,0.06740684500546092
2005,"ipr",0.060165978624758656,0.0544791162946596,0.06632676327917743
2006,"ipr",0.05899344431469075,0.05324777608933752,0.06539543229132148
2007,"ipr",0.05735329406651413,0.05163044125390061,0.06389785267069285
2008,"ipr",0.05561711795276116,0.04983919709459469,0.06239490575995536
2009,"ipr",0.05416159460113945,0.04825371723304621,0.06139627966951829
2010,"ipr",0.05190552532654287,0.04582108591741295,0.059327928278619435
2011,"ipr",0.0496850178165884,0.04348066423429212,0.057221051788747306
2012,"ipr",0.04716706423135997,0.041183955563667204,0.05474457014866287
