"year","indicator","value"
2011,"cdr","0·98 (0·95‒1·01)"
2012,"cdr","1·12 (1·08‒1·16)"
2013,"cdr","0·99 (0·96‒1·02)"
2014,"cdr","1·23 (1·19‒1·26)"
2015,"cdr","1·25 (1·21‒1·28)"
2016,"cdr","1·29 (1·25‒1·32)"
2017,"cdr","1·3 (1·25‒1·35)"
2018,"cdr","1·21 (1·14‒1·28)"
2019,"cdr","1·38 (1·28‒1·5)"
2020,"cdr","1·06 (0·95‒1·19)"
2021,"cdr","1·02 (0·87‒1·22)"
2022,"cdr","1·23 (0·98‒1·65)"
2023,"cdr","2·04 (1·46‒3·38)"
2004,"ipr","6·1% (5·6‒6·7%)"
2005,"ipr","6% (5·4‒6·6%)"
2006,"ipr","5·9% (5·3‒6·5%)"
2007,"ipr","5·7% (5·2‒6·4%)"
2008,"ipr","5·6% (5‒6·2%)"
2009,"ipr","5·4% (4·8‒6·1%)"
2010,"ipr","5·2% (4·6‒5·9%)"
2011,"ipr","5% (4·3‒5·7%)"
2012,"ipr","4·7% (4·1‒5·5%)"
2013,"ipr","4·4% (3·9‒5·2%)"
2014,"ipr","4·2% (3·6‒4·9%)"
2015,"ipr","3·9% (3·4‒4·6%)"
2016,"ipr","3·6% (3·1‒4·2%)"
2017,"ipr","3·3% (2·8‒3·9%)"
2018,"ipr","3% (2·5‒3·6%)"
2019,"ipr","2·6% (2·1‒3·3%)"
2020,"ipr","2·3% (1·8‒3%)"
2021,"ipr","2% (1·4‒2·7%)"
2022,"ipr","1·7% (1·1‒2·4%)"
2023,"ipr","1·3% (0·7‒2·1%)"
2004,"imr","7·93 (5·27‒12·1)"
2005,"imr","5·67 (4·07‒7·98)"
2006,"imr","5·23 (3·84‒7·21)"
2007,"imr","5·5 (4‒7·65)"
2008,"imr","6·29 (4·44‒9·05)"
2009,"imr","8·23 (5·5‒12·65)"
2010,"imr","5·48 (4·03‒7·59)"
2011,"imr","6·11 (4·38‒8·68)"
2012,"imr","8·11 (5·45‒12·41)"
2013,"imr","6·1 (4·33‒8·82)"
2014,"imr","4·16 (3·16‒5·6)"
2015,"imr","8·7 (5·42‒14·61)"
2016,"imr","5·14 (3·64‒7·52)"
2017,"imr","3·46 (2·59‒4·72)"
2018,"imr","3·93 (2·75‒5·77)"
2019,"imr","3·69 (2·46‒5·65)"
2020,"imr","3·76 (2·27‒6·38)"
2021,"imr","1·94 (1·21‒3·14)"
2022,"imr","1·88 (0·96‒3·58)"
2023,"imr","1·28 (0·54‒2·63)"
2004,"diagnoses_indicators","870 (870‒870)"
2005,"diagnoses_indicators","930 (930‒930)"
2006,"diagnoses_indicators","1,000 (1,000‒1,000)"
2007,"diagnoses_indicators","940 (940‒940)"
2008,"diagnoses_indicators","830 (830‒830)"
2009,"diagnoses_indicators","970 (970‒970)"
2010,"diagnoses_indicators","920 (920‒920)"
2011,"diagnoses_indicators","980 (980‒980)"
2012,"diagnoses_indicators","1,110 (1,110‒1,110)"
2013,"diagnoses_indicators","960 (960‒960)"
2014,"diagnoses_indicators","1,160 (1,160‒1,160)"
2015,"diagnoses_indicators","1,140 (1,140‒1,140)"
2016,"diagnoses_indicators","1,130 (1,130‒1,130)"
2017,"diagnoses_indicators","1,080 (1,080‒1,080)"
2018,"diagnoses_indicators","940 (940‒940)"
2019,"diagnoses_indicators","990 (990‒990)"
2020,"diagnoses_indicators","680 (680‒680)"
2021,"diagnoses_indicators","580 (580‒580)"
2022,"diagnoses_indicators","590 (590‒590)"
2023,"diagnoses_indicators","780 (780‒780)"
2004,"ydfoffest","3,520 (3,380‒3,670)"
2005,"ydfoffest","3,620 (3,490‒3,770)"
2006,"ydfoffest","3,740 (3,600‒3,860)"
2007,"ydfoffest","3,710 (3,580‒3,820)"
2008,"ydfoffest","3,570 (3,450‒3,670)"
2009,"ydfoffest","3,710 (3,590‒3,810)"
2010,"ydfoffest","3,630 (3,510‒3,730)"
2011,"ydfoffest","3,660 (3,520‒3,770)"
2012,"ydfoffest","3,770 (3,630‒3,880)"
2013,"ydfoffest","3,600 (3,430‒3,720)"
2014,"ydfoffest","3,780 (3,620‒3,900)"
2015,"ydfoffest","3,760 (3,610‒3,880)"
2016,"ydfoffest","3,770 (3,630‒3,890)"
2017,"ydfoffest","3,720 (3,590‒3,840)"
2018,"ydfoffest","3,570 (3,450‒3,700)"
2019,"ydfoffest","3,610 (3,500‒3,760)"
2020,"ydfoffest","3,320 (3,170‒3,530)"
2021,"ydfoffest","3,300 (3,060‒3,570)"
2022,"ydfoffest","3,250 (2,910‒3,610)"
2023,"ydfoffest","3,140 (2,680‒3,620)"
2004,"iproffset","14,830 (13,790‒15,970)"
2005,"iproffset","15,580 (14,410‒16,840)"
2006,"iproffset","16,300 (14,990‒17,680)"
2007,"iproffset","17,090 (15,630‒18,600)"
2008,"iproffset","17,860 (16,250‒19,510)"
2009,"iproffset","18,470 (16,720‒20,270)"
2010,"iproffset","19,300 (17,390‒21,260)"
2011,"iproffset","20,070 (17,990‒22,220)"
2012,"iproffset","20,910 (18,640‒23,240)"
2013,"iproffset","21,860 (19,410‒24,390)"
2014,"iproffset","22,680 (20,030‒25,420)"
2015,"iproffset","23,540 (20,710‒26,480)"
2016,"iproffset","24,500 (21,500‒27,640)"
2017,"iproffset","25,440 (22,240‒28,800)"
2018,"iproffset","26,280 (22,890‒29,880)"
2019,"iproffset","27,040 (23,470‒30,870)"
2020,"iproffset","27,920 (24,150‒31,980)"
2021,"iproffset","28,640 (24,690‒32,890)"
2022,"iproffset","29,060 (24,870‒33,550)"
2023,"iproffset","29,480 (25,340‒34,310)"
2004,"imroffset","110 (80‒170)"
2005,"imroffset","170 (120‒230)"
2006,"imroffset","180 (140‒250)"
2007,"imroffset","180 (130‒240)"
2008,"imroffset","160 (110‒220)"
2009,"imroffset","120 (80‒180)"
2010,"imroffset","180 (140‒240)"
2011,"imroffset","160 (120‒220)"
2012,"imroffset","120 (80‒180)"
2013,"imroffset","160 (110‒220)"
2014,"imroffset","230 (170‒290)"
2015,"imroffset","110 (60‒160)"
2016,"imroffset","170 (120‒240)"
2017,"imroffset","240 (180‒310)"
2018,"imroffset","200 (140‒270)"
2019,"imroffset","190 (140‒270)"
2020,"imroffset","170 (110‒250)"
2021,"imroffset","290 (210‒390)"
2022,"imroffset","260 (170‒370)"
2023,"imroffset","300 (200‒430)"
