"year","indicator","value"
2017,"propsuppressed","96·7% (0‒0%)"
2018,"propsuppressed","97·3% (0‒0%)"
2019,"propsuppressed","97% (0‒0%)"
2020,"propsuppressed","96·4% (0‒0%)"
2021,"propsuppressed","97·8% (0‒0%)"
2022,"propsuppressed","98·4% (0‒0%)"
2023,"propsuppressed","97·6% (0‒0%)"
2004,"propoverall","28·1% (0‒0%)"
2005,"propoverall","32·8% (0‒0%)"
2006,"propoverall","38·8% (0‒0%)"
2007,"propoverall","40·7% (0‒0%)"
2008,"propoverall","42·5% (0‒0%)"
2009,"propoverall","44·7% (0‒0%)"
2010,"propoverall","50·5% (0‒0%)"
2011,"propoverall","54·5% (0‒0%)"
2012,"propoverall","59·2% (0‒0%)"
2013,"propoverall","67·3% (0‒0%)"
2014,"propoverall","71·1% (0‒0%)"
2015,"propoverall","74·8% (0‒0%)"
2016,"propoverall","76·1% (0‒0%)"
2017,"propoverall","79·4% (0‒0%)"
2018,"propoverall","80·4% (0‒0%)"
2019,"propoverall","81·5% (0‒0%)"
2020,"propoverall","81·9% (0‒0%)"
2021,"propoverall","83·7% (0‒0%)"
2022,"propoverall","85·7% (0‒0%)"
2023,"propoverall","87·8% (0‒0%)"
2004,"ydf","0·25 (0·23‒0·26)"
2005,"ydf","0·27 (0·25‒0·28)"
2006,"ydf","0·26 (0·25‒0·27)"
2007,"ydf","0·26 (0·25‒0·27)"
2008,"ydf","0·23 (0·22‒0·24)"
2009,"ydf","0·26 (0·25‒0·27)"
2010,"ydf","0·26 (0·25‒0·27)"
2011,"ydf","0·27 (0·26‒0·28)"
2012,"ydf","0·29 (0·28‒0·3)"
2013,"ydf","0·27 (0·26‒0·28)"
2014,"ydf","0·31 (0·3‒0·33)"
2015,"ydf","0·31 (0·3‒0·32)"
2016,"ydf","0·31 (0·3‒0·32)"
2017,"ydf","0·3 (0·29‒0·31)"
2018,"ydf","0·27 (0·26‒0·28)"
2019,"ydf","0·28 (0·27‒0·29)"
2020,"ydf","0·2 (0·19‒0·22)"
2021,"ydf","0·18 (0·16‒0·19)"
2022,"ydf","0·17 (0·15‒0·19)"
2023,"ydf","0·24 (0·2‒0·29)"
2004,"cdr","0·94 (0·91‒0·97)"
2005,"cdr","1·03 (1·01‒1·06)"
2006,"cdr","1·01 (0·98‒1·04)"
2007,"cdr","0·98 (0·95‒1·01)"
2008,"cdr","0·82 (0·8‒0·85)"
2009,"cdr","0·95 (0·92‒0·98)"
2010,"cdr","0·94 (0·91‒0·98)"
2011,"cdr","0·97 (0·94‒1·01)"
2012,"cdr","1·09 (1·06‒1·13)"
2013,"cdr","0·99 (0·96‒1·03)"
2014,"cdr","1·26 (1·21‒1·31)"
2015,"cdr","1·27 (1·22‒1·31)"
2016,"cdr","1·33 (1·28‒1·38)"
2017,"cdr","1·33 (1·28‒1·38)"
2018,"cdr","1·25 (1·17‒1·33)"
2019,"cdr","1·39 (1·25‒1·49)"
2020,"cdr","1·03 (0·89‒1·17)"
2021,"cdr","1 (0·83‒1·24)"
2022,"cdr","1·14 (0·88‒1·6)"
2023,"cdr","1·91 (1·34‒3·47)"
2004,"ipr","5·9% (5·3‒6·6%)"
2005,"ipr","5·9% (5·3‒6·5%)"
2006,"ipr","5·7% (5·2‒6·4%)"
2007,"ipr","5·6% (5‒6·2%)"
2008,"ipr","5·4% (4·8‒6·1%)"
2009,"ipr","5·3% (4·7‒6%)"
2010,"ipr","5·1% (4·5‒5·8%)"
2011,"ipr","4·9% (4·3‒5·6%)"
2012,"ipr","4·7% (4·1‒5·4%)"
2013,"ipr","4·4% (3·8‒5·1%)"
2014,"ipr","4·1% (3·6‒4·8%)"
2015,"ipr","3·9% (3·3‒4·5%)"
2016,"ipr","3·6% (3·1‒4·2%)"
2017,"ipr","3·3% (2·8‒3·9%)"
2018,"ipr","3% (2·5‒3·6%)"
2019,"ipr","2·7% (2·2‒3·4%)"
2020,"ipr","2·4% (1·8‒3·2%)"
2021,"ipr","2·1% (1·5‒2·9%)"
2022,"ipr","1·8% (1·1‒2·7%)"
2023,"ipr","1·4% (0·7‒2·3%)"
2004,"imr","7·42 (4·87‒11·43)"
2005,"imr","5·36 (3·8‒7·6)"
2006,"imr","4·94 (3·57‒6·87)"
2007,"imr","5·21 (3·73‒7·32)"
2008,"imr","5·97 (4·14‒8·71)"
2009,"imr","7·84 (5·14‒12·17)"
2010,"imr","5·22 (3·79‒7·3)"
2011,"imr","5·83 (4·14‒8·36)"
2012,"imr","7·77 (5·16‒11·98)"
2013,"imr","5·86 (4·11‒8·54)"
2014,"imr","4·01 (2·99‒5·48)"
2015,"imr","8·42 (5·15‒14·34)"
2016,"imr","4·99 (3·46‒7·41)"
2017,"imr","3·38 (2·51‒4·64)"
2018,"imr","3·87 (2·66‒5·76)"
2019,"imr","3·66 (2·46‒5·76)"
2020,"imr","3·78 (2·28‒6·62)"
2021,"imr","1·98 (1·21‒3·28)"
2022,"imr","1·95 (0·96‒3·77)"
2023,"imr","1·36 (0·54‒2·8)"
2004,"diagnoses_indicators","750 (750‒750)"
2005,"diagnoses_indicators","850 (850‒850)"
2006,"diagnoses_indicators","860 (860‒860)"
2007,"diagnoses_indicators","850 (850‒850)"
2008,"diagnoses_indicators","720 (720‒720)"
2009,"diagnoses_indicators","840 (840‒840)"
2010,"diagnoses_indicators","840 (840‒840)"
2011,"diagnoses_indicators","860 (860‒860)"
2012,"diagnoses_indicators","950 (950‒960)"
2013,"diagnoses_indicators","850 (850‒850)"
2014,"diagnoses_indicators","1,060 (1,060‒1,060)"
2015,"diagnoses_indicators","1,030 (1,030‒1,030)"
2016,"diagnoses_indicators","1,040 (1,040‒1,040)"
