"year","stage","value","lower","upper"
2004,"ipr",0.05929780156110975,0.05349445387090499,0.06552047189501223
2005,"ipr",0.058586668042294884,0.05275185799342196,0.06467300993750152
2006,"ipr",0.057433035720170486,0.05157894389828233,0.0636820560273497
2007,"ipr",0.05605440012727754,0.05006083560929475,0.06240217100773846
2008,"ipr",0.054477148417718994,0.04840552464458726,0.061040388517746694
2009,"ipr",0.05317095959912254,0.04701004797178493,0.06014557654479629
2010,"ipr",0.05103711578014392,0.045056580676551196,0.05810255605476978
2011,"ipr",0.04887548221234978,0.042954475412029146,0.056035485056487505
2012,"ipr",0.04652574530419465,0.040757369306844954,0.05359834836578151
2013,"ipr",0.04385310001410997,0.03828158970406963,0.050688565941519305
2014,"ipr",0.04134882782480873,0.035871903644052565,0.04819469493450487
2015,"ipr",0.03864963372901762,0.033478149734984655,0.04525031991202295
2016,"ipr",0.03565511852770744,0.03088993159404518,0.04181220492675246
2017,"ipr",0.03273357006197394,0.02807103224557045,0.03865733555451111
2018,"ipr",0.02985208231488533,0.02468058508150152,0.036392394419725665
2019,"ipr",0.02694642306558256,0.021960572506019425,0.03439537393950614
2020,"ipr",0.023838366093562716,0.018256207745647006,0.03207415467808795
2021,"ipr",0.0206845415642095,0.014522573679085004,0.02936405987975545
2022,"ipr",0.017530878968584542,0.010666491591387925,0.02673307001384358
2023,"ipr",0.014183139581997404,0.006559476529281984,0.023231345003096197
2004,"imr",7.41991245404597,4.874708965143391,11.431218421050193
2005,"imr",5.357552719325499,3.796784321112807,7.600023988241763
2006,"imr",4.9376013698891565,3.5747264048331178,6.870293958106165
2007,"imr",5.206264545961003,3.727244639209453,7.32327139750968
2008,"imr",5.974341082388699,4.143751405044561,8.705430605403293
2009,"imr",7.835355259045711,5.13728987014536,12.172121548936918
2010,"imr",5.223660891860294,3.788029517893756,7.30147919528981
2011,"imr",5.831631023163775,4.138668872917958,8.360992590140098
2012,"imr",7.76667121564865,5.158323217453822,11.981054724917255
2013,"imr",5.863456678624603,4.111548286278649,8.538054087174828
2014,"imr",4.0111804420704935,2.9947181240367735,5.475711431292771
2015,"imr",8.424618422041409,5.1469496047672365,14.344989552591134
2016,"imr",4.992757685816158,3.4623984645539596,7.409790060347665
2017,"imr",3.375721054227976,2.5086415618264017,4.643503652817968
2018,"imr",3.873991458059221,2.661606269928346,5.760908813227836
2019,"imr",3.6601754016662014,2.457884117715433,5.764297984506009
2020,"imr",3.7789766594295098,2.275104314520457,6.616584921544801
2021,"imr",1.980351634459722,1.2104168239525905,3.2784478948694407
2022,"imr",1.951472796623925,0.9637225247969237,3.7730941720538667
2023,"imr",1.3612170099598175,0.5375015387203307,2.800355638963424
2004,"diagnoses_indicators",753.5141170675716,752.5430937208351,754.4851404143083
2005,"diagnoses_indicators",853.3236031806933,853.3236031806933,853.3236031806933
2006,"diagnoses_indicators",857.5549187042473,857.4529623472499,858.4725259172229
2007,"diagnoses_indicators",846.6333826333893,846.6333826333893,846.6333826333893
2008,"diagnoses_indicators",722.2274582745988,721.9519041127238,722.8704179856408
2009,"diagnoses_indicators",843.0785828369266,842.9770002759172,843.9928258860098
2010,"diagnoses_indicators",837.522642938832,836.266391781426,839.4070196749408
2011,"diagnoses_indicators",860.4713908592352,860.4713908592352,860.4713908592352
2012,"diagnoses_indicators",954.8805568994875,954.4849245320806,955.4740054505978
2013,"diagnoses_indicators",851.815904176321,851.815904176321,851.815904176321
2014,"diagnoses_indicators",1055.8932806602256,1055.8932806602256,1055.8932806602256
2015,"diagnoses_indicators",1031.3993867628592,1031.3993867628592,1031.3993867628592
2016,"diagnoses_indicators",1037.8523420248853,1037.8523420248853,1037.8523420248853
2017,"diagnoses_indicators",982,982,982
2018,"diagnoses_indicators",866,866,866
2019,"diagnoses_indicators",891.6,891,892
2020,"diagnoses_indicators",603,603,603
2021,"diagnoses_indicators",517.3,517,518
2022,"diagnoses_indicators",502.5,502,503
2023,"diagnoses_indicators",686,686,686
2004,"ydfoffest",3070.547755818367,2938.4849844369996,3231.2897552311683
2005,"ydfoffest",3214.226608595467,3095.232920343538,3373.090902996866
2006,"ydfoffest",3253.7876092355928,3144.9562101957736,3406.6651755876856
2007,"ydfoffest",3264.1692508614437,3163.7468828257565,3404.6425979437004
2008,"ydfoffest",3127.456361629801,3018.766351513404,3251.7735820669955
2009,"ydfoffest",3243.247738812368,3111.769521989382,3340.374272411803
2010,"ydfoffest",3222.4837418872676,3087.8738414289064,3315.365093428373
2011,"ydfoffest",3220.9732770588935,3092.346771077443,3305.0846693032413
2012,"ydfoffest",3296.5224367456867,3153.8647071068444,3410.763483959112
2013,"ydfoffest",3171.1740344488344,3011.034257330588,3297.639437394122
2014,"ydfoffest",3370.5322845752485,3206.4114471159264,3496.7495547283343
2015,"ydfoffest",3351.4502846613664,3196.3109214979595,3456.926207806049
2016,"ydfoffest",3372.894848594943,3238.35586100418,3473.03171217324
2017,"ydfoffest",3324.1838086519756,3184.4296858267103,3440.202663355592
2018,"ydfoffest",3203.56519466426,3073.1315692847243,3326.2064077048517
2019,"ydfoffest",3222.876333985051,3078.2977181930855,3358.3428933609075
2020,"ydfoffest",2957.0734574662915,2780.637947167824,3134.5520130670734
2021,"ydfoffest",2954.675341630781,2721.616534866825,3203.143990599724
2022,"ydfoffest",2906.1020939262257,2600.104893967621,3295.418060621
2023,"ydfoffest",2848.9477840889754,2378.182410517885,3391.619506250054
2004,"iproffset",13497.436969483177,12561.590266303538,14510.285811557316
2005,"iproffset",14137.568130723072,13105.804644303593,15242.658525890534
2006,"iproffset",14815.678856779645,13681.040929737374,16028.344058970377
2007,"iproffset",15489.411768363336,14242.751792878857,16813.54645314235
2008,"iproffset",16158.444312288722,14792.67727362972,17595.620835714682
2009,"iproffset",16680.72973831822,15178.493888408564,18228.43166453088
2010,"iproffset",17403.317711491087,15747.592053222374,19053.39429023249
2011,"iproffset",18088.666791232372,16290.13072840917,19879.11980787155
2012,"iproffset",18796.777080777985,16863.56260143728,20725.29226900168
2013,"iproffset",19599.603032019404,17513.031933556264,21701.737269068584
2014,"iproffset",20287.446274273683,18037.016546765917,22555.502602498414
2015,"iproffset",21018.861800754472,18615.026139874702,23445.362011144003
2016,"iproffset",21870.146312766687,19325.604627059325,24428.855263165085
2017,"iproffset",22632.664863544203,19915.658799463177,25398.557835809697
2018,"iproffset",23292.138774965417,20347.461517910808,26330.7825504947
2019,"iproffset",23860.204912362085,20687.78255620898,27183.24878991076
2020,"iproffset",24476.705480144607,21026.502203056774,28127.941966613562
2021,"iproffset",24979.18846284791,21321.255765168877,28871.224292966857
2022,"iproffset",25229.43172402217,21405.7666666667,29445.84827250882
